Asset or serial number,Model Number,Condition,Years of service left ,Initial value,Down payment,Date purchased or leased,Loan term in years,Loan rate,Monthly payment,Monthly operating costs,Total monthly cost,Expected value at end of loan term,Annual straight line depreciation,Monthly straight line depreciation,Current value
3987170020,ZE89F77P75I71,Good,14,100000,20000,39933,45,0.069881419,487.0512389,974.1024777,1461.153717,30000,1555.555556,129.6296296,81368.79902
7802489663,TX95M37R34A80,Excellent,14,300000,60000,31532,50,0.025754562,711.725126,1423.450252,2135.175378,90000,4200,350,153026.7162
9771615677,ZD41Q37F65C97,Excellent,26,400000,80000,38609,50,0.061954969,1730.909666,3461.819332,5192.728998,120000,5600,466.6666667,312614.2518
2365332445,BB75E38X17W37,Good,42,400000,80000,42462,40,0.039731057,1332.055587,2664.111173,3996.16676,120000,7000,583.3333333,364660.9654
9070434429,SA41D22M66X83,Excellent,44,500000,100000,29956,25,0.074301876,2937.824568,5875.649135,8813.473703,150000,14000,1166.666667,-50360.26091
4753918810,JI72Q25T10R22,Good,44,100000,20000,29472,50,0.0268642,242.4781125,484.9562249,727.4343374,30000,1400,116.6666667,43107.53555
4359423478,KF53K15D95M43,Good,28,500000,100000,36429,45,0.00531481,833.0116902,1666.02338,2499.035071,150000,7777.777778,648.1481481,332177.3284
3823073909,GG27C95L31Q18,Good,42,900000,180000,27111,10,0.087853744,9037.234898,18074.4698,27111.70469,270000,63000,5250,-2067675.969
6576631221,XP68F25E14G76,Excellent,22,600000,120000,35421,15,0.092324626,4935.080477,9870.160954,14805.24143,180000,28000,2333.333333,-81487.6451
6107089180,OX21C95Q66K67,Excellent,45,400000,80000,40864,30,0.024207929,1251.24831,2502.49662,3753.74493,120000,9333.333333,777.7777778,312019.1868
6726885138,MK27E62J52N51,Excellent,32,500000,100000,26876,30,0.058707656,2365.068664,4730.137328,7095.205991,150000,11666.66667,972.2222222,-57081.03934
4326644691,QX62J91C52Q85,Good,45,200000,40000,39288,30,0.0999377,1403.377965,2806.755931,4210.133896,60000,4666.666667,388.8888889,135859.8217
3398014643,ZA34P83R48B53,Good,14,900000,180000,28041,20,0.076059118,5846.988237,11693.97647,17540.96471,270000,31500,2625,-503577.7103
8952079381,NF89B74X55B79,Excellent,44,900000,180000,26606,50,0.076465383,4691.717636,9383.435272,14075.15291,270000,12600,1050,289031.9296
1728583877,WJ75W60Y50N35,Good,47,100000,20000,27191,10,0.098807175,1051.928719,2103.857438,3155.786158,30000,7000,583.3333333,-228207.5277
2770919814,JX15W49T60E89,Good,23,900000,180000,26679,45,0.015567433,1855.273278,3710.546556,5565.819834,270000,14000,1166.666667,223946.5884
3828136462,MB83U51V65J72,Good,23,900000,180000,28468,50,0.079080333,4838.828276,9677.656551,14516.48483,270000,12600,1050,353309.1898
6677872856,XO75N47F12X96,Excellent,17,100000,20000,25908,40,0.089025797,611.0959428,1222.191886,1833.287828,30000,1750,145.8333333,11796.74821
3608765324,EF71N37D42N94,Good,42,800000,160000,34216,45,0.024390687,1953.352479,3906.704959,5860.057438,240000,12444.44444,1037.037037,456032.8883
5104704514,OB55H27X17Y94,Excellent,38,200000,40000,35675,45,0.07425388,1026.761234,2053.522468,3080.283703,60000,3111.111111,259.2592593,126444.1429
7242374229,CA45Y80P87Z93,Excellent,26,900000,180000,43062,55,0.02375811,1955.568828,3911.137655,5866.706483,270000,11454.54545,954.5454545,861001.8787
3397419806,MO15L83A54P54,Good,47,900000,180000,28429,55,0.04270924,2834.253724,5668.507447,8502.761171,270000,11454.54545,954.5454545,401784.4441
4403630992,QQ56P71Z70F36,Good,12,600000,120000,27269,45,0.017241768,1278.482322,2556.964643,3835.446965,180000,9333.333333,777.7777778,164384.4836
4991230967,FY42P32H25L87,Good,33,200000,40000,37180,50,0.068385934,942.9824874,1885.964975,2828.947462,60000,2800,233.3333333,145344.9341
7723879915,CX34Q48S26D21,Excellent,20,700000,140000,27155,55,0.012688327,1179.135001,2358.270002,3537.405003,210000,8909.090909,742.4242424,281402.6235
2149509544,UH34T88B71I17,Good,20,200000,40000,43428,30,0.039804738,762.064433,1524.128866,2286.193299,60000,4666.666667,388.8888889,188791.3286
8908909447,UQ12I60T75A49,Excellent,12,600000,120000,42520,10,0.009531071,4195.23611,8390.47222,12585.70833,180000,42000,3500,394639.7652
7740460442,OQ58D56W86A45,Excellent,34,900000,180000,27164,50,0.082282837,5020.159299,10040.3186,15060.4779,270000,12600,1050,308294.3953
13948339.02,FN10K88W82P83,Poor,19,200000,40000,38921,10,0.035039416,1582.469322,3164.938645,4747.407967,60000,14000,1166.666667,-6497.247208
7011493442,OE84L76J92A74,Excellent,14,900000,180000,39450,20,0.000356208,3010.743469,6021.486937,9032.230406,270000,31500,2625,481034.6184
544746776.6,EG98I90W48U53,Good,40,500000,100000,36840,10,0.018599978,3655.512646,7311.025293,10966.53794,150000,35000,2916.666667,-215791.0632
3115548634,DN99Z63A56T83,Good,21,200000,40000,28693,35,0.047827107,785.4641817,1570.928363,2356.392545,60000,4000,333.3333333,28913.11528
142313822.6,AL37S73F54M55,Poor,36,600000,120000,28373,40,0.085157905,3524.618198,7049.236396,10573.85459,180000,10500,875,141691.4482
4726359795,UT13T83X19Y12,Good,49,100000,20000,37373,20,0.096011536,750.9972585,1501.994517,2252.991776,30000,3500,291.6666667,33531.85258
3654380847,VP14P40E92T16,Good,21,200000,40000,30305,30,0.061196867,971.6271738,1943.254348,2914.881521,60000,4666.666667,388.8888889,21008.68015
1157609272,TY99L58H54G96,Good,13,300000,60000,40705,25,0.05299565,1445.221123,2890.442246,4335.663369,90000,8400,700,217158.09
7173456956,ZK29N56Q29N16,Excellent,11,700000,140000,39666,30,0.064287659,3513.387366,7026.774732,10540.1621,210000,16333.33333,1361.111111,492424.4445
5828336141,BJ57D13U23W43,Excellent,21,500000,100000,28914,20,0.095506763,3741.771668,7483.543335,11225.315,150000,17500,1458.333333,-237909.2302
8346652335,BF88A69B47C32,Excellent,20,900000,180000,37734,55,0.040174589,2708.855902,5417.711804,8126.567705,270000,11454.54545,954.5454545,693796.8974
2822013633,VW91M89X93F50,Good,45,300000,60000,29307,15,0.021656485,1562.794958,3125.589917,4688.384875,90000,14000,1166.666667,-275253.4116
7192853250,UD89Y41D51F54,Excellent,20,200000,40000,39825,55,0.000746277,247.4409905,494.8819811,742.3229716,60000,2545.454545,212.1212121,168759.4046
2197888699,LI51P83B91N24,Good,30,300000,60000,33768,40,0.059124058,1305.887549,2611.775098,3917.662647,90000,5250,437.5,148445.0391
918123363.6,FZ64N69I51Y25,Good,32,700000,140000,38352,45,0.085458326,4076.375302,8152.750604,12229.12591,210000,10888.88889,907.4074074,522416.2963
8320007447,YA54Z13B29J44,Excellent,47,100000,20000,27610,20,0.082567166,681.9898301,1363.97966,2045.96949,30000,3500,291.6666667,-60085.95564
5443384228,US47Y32D13A61,Excellent,13,300000,60000,31372,20,0.049679839,1579.652126,3159.304252,4738.956378,90000,10500,875,-72035.9491
2066950805,II65F61N23H87,Good,49,300000,60000,27141,50,0.071477748,1471.258572,2942.517144,4413.775716,90000,4200,350,102500.1409
9115567875,OS93U74G79P41,Excellent,13,100000,20000,33749,40,0.064906656,467.8335604,935.6671209,1403.500681,30000,1750,145.8333333,49390.58382
4221524146,ZI98M37U32H76,Good,10,100000,20000,37177,35,0.051349666,410.662376,821.3247519,1231.987128,30000,2000,166.6666667,60944.22887
3100175380,JH67E39H27N24,Good,48,200000,40000,30425,55,0.031971887,515.2898489,1030.579698,1545.869547,60000,2545.454545,212.1212121,103205.2328
5040945135,KN22A22S66U35,Excellent,48,600000,120000,33372,15,0.072616471,4384.893776,8769.787552,13154.68133,180000,28000,2333.333333,-238671.2067
1591099799,NT76V20W33I24,Good,11,800000,160000,30953,10,0.066467756,7314.956893,14629.91379,21944.87068,240000,56000,4666.666667,-1248476.66
2210563326,NF59F58P61F87,Good,31,400000,80000,28638,40,0.060473299,1771.252998,3542.505996,5313.758994,120000,7000,583.3333333,99543.15722
7066442645,KY17R26C42Q56,Excellent,25,800000,160000,37403,50,0.03854246,2407.070127,4814.140254,7221.210382,240000,11200,933.3333333,588222.4762
5771971714,DC64N44M37P94,Excellent,48,400000,80000,40551,30,0.034045312,1419.944051,2839.888102,4259.832152,120000,9333.333333,777.7777778,304015.5338
1431876328,LS73P98N16P80,Good,32,200000,40000,28403,35,0.07465763,1074.878117,2149.756234,3224.63435,60000,4000,333.3333333,25735.03309
2028154433,QP67U67Z24S74,Good,10,900000,180000,38381,15,0.050066281,5696.20038,11392.40076,17088.60114,270000,42000,3500,218371.2721
9068366712,PP95M17T11I16,Excellent,32,300000,60000,36023,45,0.003318445,478.515829,957.031658,1435.547487,90000,4666.666667,388.8888889,194115.5295
6993507297,DL54U34C28F64,Excellent,40,600000,120000,29360,10,0.009542464,4195.473103,8390.946206,12586.41931,180000,42000,3500,-1119661.605
1411964220,IX22I64S53P39,Good,23,200000,40000,30756,40,0.048432828,754.9817967,1509.963593,2264.94539,60000,3500,291.6666667,70081.16765
8173987163,PP40W88W61V42,Excellent,26,700000,140000,40661,30,0.052490446,3092.009373,6184.018747,9276.02812,210000,16333.33333,1361.111111,536949.5586
9120432246,GO70X66D76T20,Excellent,15,900000,180000,32513,10,0.060571314,8014.148623,16028.29725,24042.44587,270000,63000,5250,-1135275.969
661129478.3,VV24W55D43Q39,Good,12,300000,60000,36316,25,0.025728146,1085.502245,2171.00449,3256.506735,90000,8400,700,116150.9667
3650777603,UG35O80A82D15,Good,41,500000,100000,37593,15,0.027354953,2711.726577,5423.453154,8135.179731,150000,23333.33333,1944.444444,70942.94415
5197925134,JN27G39Z17Z75,Excellent,19,300000,60000,34331,45,0.083385956,1708.323534,3416.647067,5124.970601,90000,4666.666667,388.8888889,172482.6528
4028480675,AY64I99C34A16,Good,44,400000,80000,39037,10,0.010321256,2807.795913,5615.591825,8423.387738,120000,28000,2333.333333,-4095.86428
8239981268,SF37G93U75C67,Excellent,12,500000,100000,42890,25,0.04796926,2291.278828,4582.557656,6873.836483,150000,14000,1166.666667,445738.3692
1135949200,KV22H82S89C59,Good,43,400000,80000,31622,10,0.00347496,2713.653851,5427.307702,8140.961552,120000,28000,2333.333333,-572917.7821
1371974574,UW79J22R20D53,Good,17,400000,80000,30242,45,0.068432165,1913.628413,3827.256825,5740.885238,120000,6222.222222,518.5185185,160270.9343
1104129609,RB99M24M73A85,Good,14,100000,20000,33214,35,0.089629936,624.9819844,1249.963969,1874.945953,30000,2000,166.6666667,39229.16038
6819615749,WY84C57Q29X91,Excellent,48,300000,60000,37091,10,0.098168925,3147.33258,6294.665161,9441.997741,90000,21000,1750,-115033.542
4234987082,JJ10C56H27Z94,Good,14,500000,100000,30947,45,0.047546171,1797.321503,3594.643005,5391.964508,150000,7777.777778,648.1481481,215361.4989
2983723686,YJ64K63F39H12,Good,15,600000,120000,26184,30,0.07641948,3403.007952,6806.015904,10209.02386,180000,14000,1166.666667,-95039.71296
7047624362,OY85S63H72O63,Excellent,32,400000,80000,26494,10,0.092433789,4095.893826,8191.787651,12287.68148,120000,28000,2333.333333,-966298.604
24433265.06,ON12Q76A95R48,Poor,35,600000,120000,40538,25,0.068030996,3332.487587,6664.975174,9997.462761,180000,16800,1400,426629.6047
4811656488,HA15D38L59S85,Good,46,200000,40000,39077,45,0.084568414,1153.586737,2307.173474,3460.760211,60000,3111.111111,259.2592593,155441.4032
5345412279,FG71G43X53R67,Excellent,38,200000,40000,29682,55,0.00317704,264.2530364,528.5060729,792.7591093,60000,2545.454545,212.1212121,98023.66365
537828253.1,MY42V89B98B31,Good,28,300000,60000,37555,40,0.038551736,981.543841,1963.087682,2944.631523,90000,5250,437.5,202915.5871
2993672382,EG71X12Z94I84,Good,29,600000,120000,36893,15,0.028537667,3281.137797,6562.275595,9843.413392,180000,28000,2333.333333,31432.90284
9958030246,DZ33U43R50L96,Excellent,15,900000,180000,28638,35,0.017418069,2290.800956,4581.601912,6872.402869,270000,18000,1500,127396.69
9080698444,YL59S18T99F24,Excellent,34,400000,80000,36586,30,0.036085287,1456.399127,2912.798255,4369.197382,120000,9333.333333,777.7777778,202627.406
9946743513,CQ84Z55R31N58,Excellent,31,600000,120000,43539,15,0.033086344,3386.505629,6773.011258,10159.51689,180000,28000,2333.333333,541263.0398
5686130856,SJ26N93Y73Q16,Excellent,49,700000,140000,38232,45,0.036154028,2101.139964,4202.279928,6303.419891,210000,10888.88889,907.4074074,518836.3876
84887919.81,ON65K76B24M24,Poor,29,600000,120000,43779,10,0.020897222,4435.959539,8871.919078,13307.87862,180000,42000,3500,539510.9981
2456877179,QI98J32W96T91,Good,15,800000,160000,31034,40,0.032729962,2392.928408,4785.856815,7178.785223,240000,14000,1166.666667,290987.6843
