Asset or serial number,Model Number,Condition,Years of service left ,Initial value,Down payment,Date purchased or leased,Loan term in years,Loan rate,Monthly payment,Monthly operating costs,Total monthly cost,Expected value at end of loan term,Annual straight line depreciation,Monthly straight line depreciation,Current value
843528393.5,ML96X77G61Z55,Good,35,900000,180000,39173,35,0.054192773,3828.516387,7657.032774,11485.54916,270000,18000,1500,646930.9808
3039898972,BM51Q96O84M76,Good,13,700000,140000,33574,40,0.070155814,3486.354866,6972.709732,10459.0646,210000,12250,1020.833333,339860.8292
6521117950,OH94H80A60S33,Excellent,17,200000,40000,30296,25,0.00325753,555.4172806,1110.834561,1666.251842,60000,5600,466.6666667,-14927.65225
9372893385,YH42F29I38H49,Excellent,33,400000,80000,34015,40,0.049489022,1532.215272,3064.430544,4596.645815,120000,7000,583.3333333,202663.7224
8623578362,EB13Q41E81O12,Excellent,46,600000,120000,26149,40,0.062495287,2724.990471,5449.980941,8174.971412,180000,10500,875,77713.39176
6210827921,YA89C22Y55C53,Excellent,46,400000,80000,32880,10,0.082225264,3920.211773,7840.423545,11760.63532,120000,28000,2333.333333,-476413.6037
6548677217,YQ47M14V42G71,Excellent,43,100000,20000,29611,45,0.021701145,232.1995812,464.3991625,696.5987437,30000,1555.555556,129.6296296,37378.54409
5336222778,SA56L21K84A24,Excellent,29,400000,80000,26302,10,0.011200245,2820.033343,5640.066686,8460.100029,120000,28000,2333.333333,-981027.3023
1759162492,NV15T88C32C79,Good,24,800000,160000,27731,10,0.028971752,6149.557108,12299.11422,18448.67132,240000,56000,4666.666667,-1742810.769
9316840885,BT37B39K35T59,Excellent,18,400000,80000,30452,20,0.067397008,2431.205811,4862.411622,7293.617433,120000,14000,1166.666667,-131335.569
5162705162,LY44J88S86Z30,Excellent,17,900000,180000,31593,30,0.036582122,3297.043156,6594.086312,9891.129469,270000,21000,1750,168643.2219
9232861575,UR84H63E25G53,Excellent,14,400000,80000,34643,15,0.016984467,2015.093729,4030.187457,6045.281186,120000,18666.66667,1555.555556,-94113.17873
3688800019,EF76J24B15T44,Good,30,400000,80000,30867,15,0.05940566,2690.077481,5380.154962,8070.232444,120000,18666.66667,1555.555556,-287223.681
5335525663,RV12P82H21N87,Excellent,32,800000,160000,36464,30,0.061295484,3890.590088,7781.180177,11671.77027,240000,18666.66667,1555.555556,399015.5884
6960888322,YF76N82T72X18,Excellent,46,900000,180000,38081,35,0.052879229,3767.02346,7534.046919,11301.07038,270000,18000,1500,593078.926
1094086445,UH32O76W63V72,Good,26,600000,120000,40447,25,0.019001093,2011.238977,4022.477953,6033.71693,180000,16800,1400,422441.1528
2750991565,UE64I62M17U50,Good,46,300000,60000,40034,25,0.052032984,1431.589552,2863.179104,4294.768656,90000,8400,700,201715.9189
2467790573,MD59W60Q36B17,Good,17,800000,160000,30665,55,0.066099822,3621.791713,7243.583425,10865.37514,240000,10181.81818,848.4848485,419515.8502
2486757596,LN47J17Y42X56,Good,44,300000,60000,38192,25,0.01580431,968.9433654,1937.886731,2906.830096,90000,8400,700,159324.686
650738315,JL11H45F94Q42,Good,39,600000,120000,43086,40,0.099325886,4050.507263,8101.014527,12151.52179,180000,10500,875,564942.1589
2528085947,AJ95N88W57I50,Good,19,700000,140000,32909,35,0.067386842,3475.535144,6951.070288,10426.60543,210000,14000,1166.666667,262905.5269
9575568825,JJ96C85I84S22,Excellent,44,800000,160000,27287,20,0.037827675,3805.408058,7610.816115,11416.22417,240000,28000,2333.333333,-505465.6585
8747871725,XP19H25B89V85,Excellent,46,600000,120000,43186,50,0.024981649,1401.771008,2803.542015,4205.313023,180000,8400,700,574255.097
2889289201,VP16B94Z40S78,Good,34,500000,100000,25604,10,0.037446742,4001.444602,8002.889204,12004.33381,150000,35000,2916.666667,-1293215.635
5323504663,NI74Z42T93H38,Excellent,36,400000,80000,41166,20,0.00163916,1355.399274,2710.798548,4066.197822,120000,14000,1166.666667,279612.3762
3732554092,PC90X35E54X21,Good,24,200000,40000,28596,40,0.000277648,335.191604,670.3832081,1005.574812,60000,3500,291.6666667,49368.84748
9305771616,KX65Y43P68T92,Excellent,30,800000,160000,37748,30,0.047020803,3320.082279,6640.164557,9960.246836,240000,18666.66667,1555.555556,464681.3418
4730460707,DF73C76P87Y18,Good,11,100000,20000,29400,50,0.066331797,459.0161727,918.0323453,1377.048518,30000,1400,116.6666667,42831.37461
5666778212,ZE96Q34H48B78,Excellent,38,300000,60000,39994,45,0.037411368,919.4327923,1838.865585,2758.298377,90000,4666.666667,388.8888889,244886.3172
1425602726,QX17N14B71J80,Good,32,200000,40000,35880,20,0.047380435,1032.913311,2065.826622,3098.739933,60000,7000,583.3333333,38430.84565
4473451740,NC36L83H36B81,Good,39,400000,80000,35648,15,0.074289104,2953.527055,5907.05411,8860.581165,120000,18666.66667,1555.555556,-42715.91846
8260848302,ON47V88P31X55,Excellent,43,200000,40000,29705,40,0.082120187,1138.03211,2276.06422,3414.09633,60000,3500,291.6666667,60003.09406
5336065823,YS65F69T23R60,Excellent,13,400000,80000,27907,50,0.057503234,1625.755478,3251.510956,4877.266435,120000,5600,466.6666667,148419.1971
1344514522,PF55R19J76P47,Good,11,400000,80000,41441,30,0.066134812,2046.558439,4093.116878,6139.675317,120000,9333.333333,777.7777778,326773.5476
3912638694,QH36D72N19E80,Good,11,300000,60000,30721,35,0.018160881,772.5664654,1545.132931,2317.699396,90000,6000,500,76706.67396
2582659980,FT79N91Y41E86,Good,31,300000,60000,37254,10,0.000383158,2003.865952,4007.731904,6011.597856,90000,21000,1750,-105655.4083
4992203202,EA81E38W28M25,Good,36,200000,40000,26184,55,0.086519715,1163.750448,2327.500896,3491.251343,60000,2545.454545,212.1212121,73629.14935
6905582004,ES99R98B24P31,Excellent,20,100000,20000,27490,20,0.000274554,334.2531653,668.5063306,1002.759496,30000,3500,291.6666667,-61236.63197
5122660521,OW41K44Y31W42,Excellent,47,400000,80000,42307,40,0.08099049,2248.816451,4497.632903,6746.449354,120000,7000,583.3333333,361688.3799
7415461209,IL75S81M15F82,Excellent,43,900000,180000,32329,10,0.053585463,7763.522919,15527.04584,23290.56876,270000,63000,5250,-1167034.718
5512914985,ET33N75D81O29,Excellent,12,300000,60000,38296,20,0.007858268,1080.966965,2161.933929,3242.900894,90000,10500,875,127147.6383
3968161518,RB46L94D31O23,Good,15,800000,160000,34942,20,0.061344625,4634.943148,9269.886296,13904.82944,240000,28000,2333.333333,81767.2182
4749827646,PC66D29B15S64,Good,22,800000,160000,32477,10,0.092637601,8198.888839,16397.77768,24596.66652,240000,56000,4666.666667,-1014657.344
8962476965,LZ57Q95K53Q59,Excellent,17,100000,20000,28862,20,0.099130978,767.4168512,1534.833702,2302.250554,30000,3500,291.6666667,-48080.46759
4282024351,IS73U76X27R39,Good,49,100000,20000,27759,50,0.022890277,223.994803,447.9896061,671.9844091,30000,1400,116.6666667,36537.12803
7999700201,SJ19Z61P28M18,Excellent,14,500000,100000,32485,45,0.095568481,3230.171884,6460.343768,9690.515652,150000,7777.777778,648.1481481,248134.7296
6333652076,HA20J43R18I96,Excellent,32,600000,120000,43511,40,0.04347686,2111.131696,4222.263393,6333.395089,180000,10500,875,577168.1863
9463047007,UJ38T67B17S51,Excellent,22,200000,40000,29686,25,0.096037482,1409.470967,2818.941935,4228.412902,60000,5600,466.6666667,-24286.55636
3613550839,GA57A14R37L12,Good,21,700000,140000,38423,55,0.028500988,1681.352191,3362.704381,5044.056572,210000,8909.090909,742.4242424,556437.2656
5954207417,NY86U39H23L11,Excellent,33,900000,180000,28979,55,0.087089492,5269.943504,10539.88701,15809.83051,270000,11454.54545,954.5454545,419044.7462
9699969659,ED80I44F15H83,Excellent,46,300000,60000,43598,30,0.040431414,1151.773918,2303.547836,3455.321754,90000,7000,583.3333333,286447.284
3447290839,VY92O29E45X61,Good,37,800000,160000,33375,45,0.085466723,4659.133664,9318.267327,13977.40099,240000,12444.44444,1037.037037,427359.5551
98633593.82,SS88G22X30R21,Poor,43,500000,100000,40404,10,0.097796561,5237.343801,10474.6876,15712.0314,150000,35000,2916.666667,125962.4474
6936884555,UH64S80L42O20,Excellent,13,700000,140000,43827,30,0.086015292,4346.274427,8692.548854,13038.82328,210000,16333.33333,1361.111111,678624.4846
7061944403,FJ97I29O53H34,Excellent,20,800000,160000,43013,20,0.05219015,4301.53216,8603.06432,12904.59648,240000,28000,2333.333333,700912.4237
8391114933,UO85U20C47I89,Excellent,36,700000,140000,36963,55,0.023563557,1514.589699,3029.179399,4543.769098,210000,8909.090909,742.4242424,520800.9019
1407081134,GC86W68O21Y84,Good,21,800000,160000,27515,15,0.009293301,3810.507122,7621.014244,11431.52137,240000,37333.33333,3111.111111,-917300.3301
3208155727,MG27O75Z20N83,Good,49,800000,160000,26456,35,0.0857846,4816.98151,9633.963019,14450.94453,240000,16000,1333.333333,17592.22645
1470929224,GR24I85O21Z16,Good,17,100000,20000,39440,30,0.027371791,326.0499189,652.0998378,978.1497568,30000,2333.333333,194.4444444,68901.60608
3798096088,AZ63G98R23X91,Good,43,600000,120000,30152,55,0.050665688,2160.56577,4321.131541,6481.697311,180000,7636.363636,636.3636364,303904.1355
3398872297,OR97F95L67R61,Good,12,600000,120000,26331,45,0.099383709,4022.140737,8044.281475,12066.42221,180000,9333.333333,777.7777778,140399.1184
5706486595,WY16E76V12E54,Excellent,41,700000,140000,41764,50,0.061767797,3021.288294,6042.576587,9063.864881,210000,9800,816.6666667,631784.5538
764726526.3,NT54S84W27H94,Good,40,300000,60000,28640,25,0.011457499,920.4165461,1840.833092,2761.249638,90000,8400,700,-60502.16331
2873774244,WI31X81L95J69,Good,49,400000,80000,32352,40,0.088130555,2422.401158,4844.802316,7267.203475,120000,7000,583.3333333,170770.5717
5417108626,VS79U77B14V24,Excellent,39,900000,180000,37241,10,0.031087552,6988.577064,13977.15413,20965.73119,270000,63000,5250,-319210.0604
